行业名称	就业人数
橡胶板、管、带的制造	19500
其他计算机服务	19317
文艺创作与表演	19035
计算机维修	18827
林业服务业	18497
疾病预防控制及防疫活动	18206
橡胶零件制造	18148
皮革鞣制加工	17990
技术检测	17989
铁合金冶炼	17847
水上运输辅助活动	17571
其他煤炭采选	17331
贵金属矿采选	17171
非电力家用器具制造	17004
卫生材料及医药用品制造	16896
其他娱乐活动	16848
提供施工设备服务	16771
证券经纪与交易	16428
其他电气机械及器材制造	16160
褐煤的开采洗选	16057
其他卫生活动	15710
泡沫塑料制造	15579
农药制造	15526
市场管理	15477
金融信托与管理	15262
渔业服务业	15220
羽毛(绒)加工及制品制造	15166
其他软件服务	15119
广播	15101
罐头制造	14929
宗教组织	14878
群众团体	14801
提供住宿的社会福利	14531
其他专业技术服务	14180
广播电视传输服务	13790
技术推广服务	13681
制糖	13616
殡葬服务	13550
社会保障业	13484
精制茶加工	13266
其他橡胶制品制造	12921
其他未列明的制造业	12755
其他房地产活动	12617
妇幼保健活动	12477
自然科学研究与试验发展	12292
乐器制造	12151
纤维素纤维原料及纤维制造	12145
航空运输辅助活动	11923
证券投资	11414
中药饮片加工	11361
水上旅客运输	11330
新闻业	11232
生物、生化制品的制造	11215
轨道交通	11214
计划生育技术服务活动	10830
纸浆制造	10814
音像制作	10719
邮政储蓄	10713
电影	10389
稀有稀土金属矿采选	10230
农业科学研究与试验发展	10148
其他采矿业	10147
其他未列明的金融活动	9888
装订及其他印刷服务活动	9840
食品、饮料、烟草及饲料生产专用设备制造	9821
煤制品制造	9080
麻纺织	8964
塑料人造革、合成革制造	8910
婚姻服务	8792
交通器材及其他交通运输设备制造	8681
托儿所	8510
图书馆与档案馆	8377
采盐	8372
气象服务	8134
广播电视设备制造	7869
体育组织	7668
有色金属合金制造	7666
烟叶复烤	7289
竹、藤家具制造	7257
稀有稀土金属冶炼	7175
人民政协	7082
酒精制造	6976
其他水利管理	6710
财务公司	6566
数据处理	6552
搪瓷制品制造	6499
污水处理及其再生利用	6406
石棉及其他非金属矿采选	6391
文化及日用品出租	6345
游乐园	6126
贵金属冶炼	5745
防洪管理	5661
地质勘查技术服务	5469
游艺器材及娱乐用品制造	5421
通用航空服务	5421
其他黑色金属矿采选	5210
专科疾病防治活动	5167
测绘服务	5046
艺术表演场馆	5044
塑料家具制造	5004
基础地质勘查	4960
日用及医用橡胶制品制造	4907
化学矿采选	4796
博物馆	4697
其他仪器仪表的制造及修理	4561
群众文化活动	4538
管道运输业	4495
证券市场管理	4410
医学研究与试验发展	4299
自然保护	4102
兽用药品制造	4082
其他科技服务	4048
保险辅助服务	4048
体育场馆	4030
烘炉、熔炉及电炉制造	3947
科技中介服务	3936
其他文化艺术	3813
环境监测	3740
不提供住宿的社会福利	3166
文物及文化保护	3074
再生橡胶制造	3004
知识产权服务	2977
社会人文科学研究与试验发展	2977
典当	2925
其他水的处理、利用与分配	2643
地震服务	2431
雷达及配套设备制造	2294
其他烟草制品加工	2229
记录媒介的复制	2202
其他体育	2106
证券分析与咨询	1904
金融租赁	1700
核燃料加工	1608
狩猎和捕捉动物	1448
海洋服务	1394
文化艺术经纪代理	1331
烈士陵园、纪念馆	1161
民主党派	1021
卫星传输服务	873
城市轮渡	692
国际组织	658
核辐射加工	488
