    谷物及其他作物的种植	29831842
    蔬菜、园艺作物的种植	1485741
    水果、坚果、饮料和香料作物的种植	1190663
    中药材的种植	80965
    林木的培育和种植	159509
    木材和竹材的采运	31586
    林产品的采集	66376
    牲畜的饲养	403521
    猪的饲养	574136
    家禽的饲养	217465
    狩猎和捕捉动物	1448
    其他畜牧业	81497
    海洋渔业	131622
    内陆渔业	182676
    农业服务业	86623
    林业服务业	18497
    畜牧服务业	24832
    渔业服务业	15220
    烟煤和无烟煤的开采洗选	438796
    褐煤的开采洗选	16057
    其他煤炭采选	17331
    天然原油和天然气开采	62912
    与石油和天然气开采有关的服务活动	42328
    铁矿采选	54096
    其他黑色金属矿采选	5210
    常用有色金属矿采选	45756
    贵金属矿采选	17171
    稀有稀土金属矿采选	10230
    土砂石开采	69757
    化学矿采选	4796
    采盐	8372
    石棉及其他非金属矿采选	6391
    其他采矿业	10147
    谷物磨制	55719
    饲料加工	28315
    植物油加工	27876
    制糖	13616
    屠宰及肉类加工	107960
    水产品加工	44978
    蔬菜、水果和坚果加工	24454
    其他农副食品加工	75815
    焙烤食品制造	133639
    糖果、巧克力及蜜饯制造	24893
    方便食品制造	79542
    液体乳及乳制品制造	21153
    罐头制造	14929
    调味品、发酵制品制造	23105
    其他食品制造	41243
    酒精制造	6976
    酒的制造	86047
    软饮料制造	40635
    精制茶加工	13266
    烟叶复烤	7289
    卷烟制造	22715
    其他烟草制品加工	2229
    棉、化纤纺织及印染精加工	398874
    毛纺织和染整精加工	59487
    麻纺织	8964
    丝绢纺织及精加工	27105
    纺织制成品制造	170390
    针织品、编织品及其制品制造	264454
    纺织服装制造	1340695
    纺织面料鞋的制造	118432
    制帽	20445
    皮革鞣制加工	17990
    皮革制品制造	510205
    毛皮鞣制及制品加工	21387
    羽毛(绒)加工及制品制造	15166
    锯材、木片加工	119892
    人造板制造	91136
    木制品制造	79747
    竹、藤、棕、草制品制造	40743
    木质家具制造	265671
    竹、藤家具制造	7257
    金属家具制造	29803
    塑料家具制造	5004
    其他家具制造	30893
    纸浆制造	10814
    造纸	78703
    纸制品制造	122231
    印刷	153858
    装订及其他印刷服务活动	9840
    记录媒介的复制	2202
    文化用品制造	33423
    体育用品制造	37221
    乐器制造	12151
    玩具制造	170834
    游艺器材及娱乐用品制造	5421
    精炼石油产品的制造	52188
    炼焦	29793
    核燃料加工	1608
    基础化学原料制造	89160
    肥料制造	74516
    农药制造	15526
    涂料、油墨、颜料及类似产品制造	40986
    合成材料制造	28303
    专用化学产品制造	107671
    日用化学产品制造	42226
    化学药品原药制造	31400
    化学药品制剂制造	36415
    中药饮片加工	11361
    中成药制造	38204
    兽用药品制造	4082
    生物、生化制品的制造	11215
    卫生材料及医药用品制造	16896
    纤维素纤维原料及纤维制造	12145
    合成纤维制造	29451
    轮胎制造	38997
    橡胶板、管、带的制造	19500
    橡胶零件制造	18148
    再生橡胶制造	3004
    日用及医用橡胶制品制造	4907
    橡胶靴鞋制造	24234
    其他橡胶制品制造	12921
    塑料薄膜制造	33895
    塑料板、管、型材的制造	47661
    塑料丝、绳及编织品的制造	33074
    泡沫塑料制造	15579
    塑料人造革、合成革制造	8910
    塑料包装箱及容器制造	31441
    塑料零件制造	44823
    日用塑料制造	67612
    其他塑料制品制造	59748
    水泥、石灰和石膏的制造	116488
    水泥及石膏制品制造	69034
    砖瓦、石材及其他建筑材料制造	265881
    玻璃及玻璃制品制造	112240
    陶瓷制品制造	95099
    耐火材料制品制造	28624
    石墨及其他非金属矿物制品制造	19620
    炼铁	54366
    炼钢	125448
    钢压延加工	102526
    铁合金冶炼	17847
    常用有色金属冶炼	78899
    贵金属冶炼	5745
    稀有稀土金属冶炼	7175
    有色金属合金制造	7666
    有色金属压延加工	45796
    结构性金属制品制造	280864
    金属工具制造	103306
    集装箱及金属包装容器制造	22967
    金属丝绳及其制品的制造	22399
    建筑、安全用金属制品制造	69639
    金属表面处理及热处理加工	45236
    搪瓷制品制造	6499
    不锈钢及类似日用金属制品制造	76716
    其他金属制品制造	45618
    锅炉及原动机制造	43633
    金属加工机械制造	159543
    起重运输设备制造	29413
    泵、阀门、压缩机及类似机械的制造	86783
    轴承、齿轮、传动和驱动部件的制造	71816
    烘炉、熔炉及电炉制造	3947
    风机、衡器、包装设备等通用设备制造	65500
    通用零部件制造及机械修理	172627
    金属铸、锻加工	66501
    矿山、冶金、建筑专用设备制造	75537
    化工、木材、非金属加工专用设备制造	120393
    食品、饮料、烟草及饲料生产专用设备制造	9821
    印刷、制药、日化生产专用设备制造	26358
    纺织、服装和皮革工业专用设备制造	30538
    电子和电工机械专用设备制造	115165
    农、林、牧、渔专用机械制造	25447
    医疗仪器设备及器械制造	26572
    环保、社会公共安全及其他专用设备制造	29177
    铁路运输设备制造	40724
    汽车制造	379266
    摩托车制造	47593
    自行车制造	30015
    船舶及浮动装置制造	96054
    航空航天器制造	27035
    交通器材及其他交通运输设备制造	8681
    电机制造	98161
    输配电及控制设备制造	150357
    电线、电缆、光缆及电工器材制造	81531
    电池制造	42663
    家用电力器具制造	163511
    非电力家用器具制造	17004
    照明器具制造	86926
    其他电气机械及器材制造	16160
    通信设备制造	104810
    雷达及配套设备制造	2294
    广播电视设备制造	7869
    电子计算机制造	102307
    电子器件制造	203467
    电子元件制造	381012
    家用视听设备制造	51845
    其他电子设备制造	35194
    通用仪器仪表制造	56121
    专用仪器仪表制造	20601
    钟表与计时仪器制造	23654
    光学仪器及眼镜制造	38401
    文化、办公用机械制造	23863
    其他仪器仪表的制造及修理	4561
    工艺美术品制造	245764
    日用杂品制造	61925
    煤制品制造	9080
    核辐射加工	488
    其他未列明的制造业	12755
    金属废料和碎屑的加工处理	48558
    非金属废料和碎屑的加工处理	40089
    电力生产	142993
    电力供应	194749
    热力生产和供应	36029
    燃气生产和供应业	46714
    自来水的生产和供应	66457
    污水处理及其再生利用	6406
    其他水的处理、利用与分配	2643
    房屋工程建筑	2551101
    土木工程建筑	351998
    建筑安装业	223706
    建筑装饰业	715783
    工程准备	25336
    提供施工设备服务	16771
    其他未列明的建筑活动	35167
    铁路旅客运输	91419
    铁路货物运输	37079
    铁路运输辅助活动	94717
    公路旅客运输	298223
    道路货物运输	926124
    道路运输辅助活动	130880
    公共电汽车客运	103221
    轨道交通	11214
    出租车客运	292558
    城市轮渡	692
    其他城市公共交通	63480
    水上旅客运输	11330
    水上货物运输	44217
    水上运输辅助活动	17571
    航空客货运输	26424
    通用航空服务	5421
    航空运输辅助活动	11923
    管道运输业	4495
    装卸搬运	133164
    运输代理服务	81399
    谷物、棉花等农产品仓储	22609
    其他仓储	48490
    国家邮政	57306
    其他寄递服务	30748
    电信	214070
    互联网信息服务	45486
    广播电视传输服务	13790
    卫星传输服务	873
    计算机系统服务	27390
    数据处理	6552
    计算机维修	18827
    其他计算机服务	19317
    公共软件服务	77988
    其他软件服务	15119
    农畜产品批发	96210
    食品、饮料及烟草制品批发	284075
    纺织、服装及日用品批发	273481
    文化、体育用品及器材批发	33844
    医药及医疗器材批发	49625
    矿产品、建材及化工产品批发	236767
